date,question,option_a,option_b,option_c,option_d,correct_option,explanation,source
01-01-2026,What is the contribution of agriculture to India’s GVA?,15%,18%,22%,30%,B,Agriculture contributes around 18% to India’s Gross Value Added.,MoSPI
01-01-2026,Which institution releases the Consumer Price Index (CPI) in India?,RBI,CSO,MoSPI,NITI Aayog,C,CPI is officially released by the Ministry of Statistics and Programme Implementation.,MoSPI
01-01-2026,What does NABARD primarily regulate?,Commercial Banks,Cooperative Banks,RRBs,All of the above,D,NABARD regulates Regional Rural Banks and Cooperative Banks.,RBI
01-01-2026,Which sector employs the largest share of India’s workforce?,Industry,Services,Agriculture,Construction,C,Agriculture still employs the largest proportion of India’s workforce.,World Bank
01-01-2026,What is the base year for India’s Consumer Price Index (CPI)?,2004–05,2011–12,2015–16,2020–21,B,India’s CPI uses 2011–12 as the base year.,MoSPI
01-01-2026,Which scheme aims to promote financial inclusion in India?,PMFBY,PMJDY,MGNREGA,NRLM,B,Pradhan Mantri Jan Dhan Yojana focuses on financial inclusion.,PIB
01-01-2026,What does MSP stand for in Indian agriculture?,Minimum Support Price,Maximum Selling Price,Market Stabilisation Price,Minimum Selling Price,A,MSP ensures price support to farmers against distress sales.,MoA&FW
01-01-2026,Which organisation publishes the World Development Report?,IMF,UNDP,World Bank,WTO,C,The World Development Report is an annual publication of the World Bank.,World Bank
01-01-2026,What is the primary objective of PMFBY?,Crop insurance,Pension coverage,Health insurance,Skill development,A,PMFBY provides insurance coverage against crop loss.,MoA&FW
01-01-2026,Which sector contributes the highest share to India’s GDP?,Agriculture,Industry,Services,Mining,C,The services sector contributes the highest share to India’s GDP.,RBI
